ephemeris,julian_date,target,center,x,y,z,vx,vy,vz
de405,2415021.0000000000000000,1,0,-5.7066714820133306e+07,-2.4386501773079373e+07,-7.1431067080760906e+06,8.7264193806159205e+05,-3.1941322440840057e+06,-1.7965355115999668e+06
de405,2415022.0000000000000000,1,0,-5.6083454291852817e+07,-2.7529769709964603e+07,-8.9239853421379123e+06,1.0920783092746341e+06,-3.0909390548276980e+06,-1.7642523996091920e+06
de405,2415023.0000000000000000,1,0,-5.4886153710050575e+07,-3.0565592501947924e+07,-1.0669749132517569e+07,1.3007295684730697e+06,-2.9793808984003444e+06,-1.7263808018512751e+06
de405,2415024.0000000000000000,1,0,-5.3485569176156439e+07,-3.3486008242252402e+07,-1.2375027841974001e+07,1.4986597759868235e+06,-2.8602503583865492e+06,-1.6833506146818267e+06
de405,2415025.0000000000000000,1,0,-5.1892376511415064e+07,-3.6283808167335682e+07,-1.4034861755623795e+07,1.6859636043498798e+06,-2.7342623059373498e+06,-1.6355534202457119e+06
de405,2415026.0000000000000000,1,0,-5.0117145793749131e+07,-3.8952462426228933e+07,-1.5644664690468814e+07,1.8627563624763752e+06,-2.6020608353837449e+06,-1.5833451525588904e+06
de405,2415027.0000000000000000,1,0,-4.8170324957192384e+07,-4.1486052680175900e+07,-1.7200189709747501e+07,2.0291657940202586e+06,-2.4642259695860138e+06,-1.5270488251459880e+06
de405,2415028.0000000000000000,1,0,-4.6062230829950854e+07,-4.3879211252012782e+07,-1.8697497561183251e+07,2.1853253561278135e+06,-2.3212800425456008e+06,-1.4669572402993259e+06
de405,2415029.0000000000000000,1,0,-4.3803046261149257e+07,-4.6127066474286675e+07,-2.0132927792091291e+07,2.3313687240344309e+06,-2.1736937086614696e+06,-1.4033356264566171e+06
de405,2415030.0000000000000000,1,0,-4.1402822222328812e+07,-4.8225193850448675e+07,-2.1503072451251417e+07,2.4674253034949102e+06,-2.0218915582408677e+06,-1.3364241701360689e+06
de405,2415031.0000000000000000,1,0,-3.8871483970961832e+07,-5.0169572634407237e+07,-2.2804752261696432e+07,2.5936165660319752e+06,-1.8662573402874758e+06,-1.2664404237335520e+06
de405,2415032.0000000000000000,1,0,-3.6218840533360362e+07,-5.1956547442637056e+07,-2.4034995135632046e+07,2.7100530511527099e+06,-1.7071388084261052e+06,-1.1935815814420781e+06
de405,2415033.0000000000000000,1,0,-3.3454596907206200e+07,-5.3582794534243703e+07,-2.5191016899171028e+07,2.8168319050701852e+06,-1.5448522158351063e+06,-1.1180266235404774e+06
